ros_time_s,wall_time,source,severity,reason,min_bus_voltage,max_current,tau,ratio,cycle_count,pos_error_l1,pos_error_l2,pos_error_l3,pos_error_r1,pos_error_r2,pos_error_r3,schema_version,event_kind,event_stamp_ns,event_seq,detail_json,controller_state
1789110817.211687,2026-09-11T15:13:37+0800,/rinbo/safety_detail,ERROR,native structured safety detail,,,,,,,,,,,,2,safety_detail,,,"{""schema_version"":1,""source"":""rinbo_standing"",""event_seq"":0,""event_stamp_ns"":1789110817211335399,""reason"":""leg current=6.25A threshold=5A"",""controller_state"":""Standing: ROTATE_180"",""tau"":0,""ratio"":0,""cycle_count"":0,""power_received"":true,""power_seq"":129,""power_stamp_ns"":1789110817211147872,""quantity"":""leg_current"",""channel"":2,""measured"":6.25,""threshold"":5,""current_trip_samples"":25,""currents"":[0,0,6.25,99,0,0,0,0],""voltages"":[0,0,0,0,0,0,0,24],""disabled_legs"":[false,false,true,false,false,false]}",
1789110817.211851,2026-09-11T15:13:37+0800,rinbo_standing,ERROR,leg current=6.25A threshold=5A,24.000000,6.250000,0.000000,0.000000,0,,,,,,,2,safety_event,1789110817211514605,0,,
