in_local_head,local_exists,local_head_sha256,local_sha256,path,status,upstream_differs_from_local_head,upstream_object,upstream_sha256,upstream_text_differs_from_local_head,upstream_type,working_differs_from_head,working_text_differs_from_head
True,True,4edeabdef98e65509aed6034820b60b6ca136901c9e9eaaab76c3220de317586,4edeabdef98e65509aed6034820b60b6ca136901c9e9eaaab76c3220de317586,src/rinbo_msgs/msg/MotorStateStamped.msg,line_endings_only,True,7f8d2e0447b615ffec81d6e364ad1730cab81d8f,6673ca9b0e414d12db8209b86410b92eeeb0895b2fab6e8299bc60eb59899b76,False,blob,False,False
True,True,b05cbcb0995fef02a98dc672088801b50b039b8abd13700afc755e159c864869,b05cbcb0995fef02a98dc672088801b50b039b8abd13700afc755e159c864869,src/rinbo_msgs/msg/PowerCmdStamped.msg,line_endings_only,True,f87eaec8f9e6c80dbff8f8bab0abcfe486173909,76ad238406ca1f64b0b94974e18e19829a5b146c08ede9c01af64b00b9689d6e,False,blob,False,False
True,True,0e696bc47db8cbefe11f378ba569ccb0fa3753ba602928349754010ae6d16d92,0e696bc47db8cbefe11f378ba569ccb0fa3753ba602928349754010ae6d16d92,src/rinbo_msgs/msg/PowerStateStamped.msg,line_endings_only,True,63223b55c3165f02a431da310da495089b869280,873ff5da192aaed3bd2bd8585804d543551e545a3c8b662b1ca1e25b08b72723,False,blob,False,False
True,True,706c51398a963ee2e50ea8509c505b9b30f716a45306967f2ad4ccd3e98a90e2,706c51398a963ee2e50ea8509c505b9b30f716a45306967f2ad4ccd3e98a90e2,src/rinbo_msgs/msg/ServoCmd.msg,line_endings_only,True,c40d02fcbcf1a07e4863f3cbe0f537d6cc1530d7,1e1f41d18df6eca3301018508162c82fc5207ddb4594625c716e427c72fe5aae,False,blob,False,False
True,True,80cd3a6b3684cdc97b64af677893d634c173fe3e7b2791b5f5f4f2eb5936f330,80cd3a6b3684cdc97b64af677893d634c173fe3e7b2791b5f5f4f2eb5936f330,src/rinbo_msgs/msg/ServoState.msg,line_endings_only,True,770c6b54ac44e665c52ed89ed944acd81c00af67,b50d6aca7e3e5faa9f347a962f21ed393ed98c83130a8b05fa1bbde6dd69bf09,False,blob,False,False
True,True,bf82df71b332749cf2205cea07bf6f82db0d4f26f080c5d0749d1436568489cf,bf82df71b332749cf2205cea07bf6f82db0d4f26f080c5d0749d1436568489cf,src/rinbo_msgs/package.xml,identical,False,f029236ce1329b0ca387f1a4ae3f98561cc15ca5,bf82df71b332749cf2205cea07bf6f82db0d4f26f080c5d0749d1436568489cf,False,blob,False,False
False,False,,,src/rinbo_panel/CMakeLists.txt,absent_locally,,3abe39f8dfa21493a7e04b7c3433b6e0e2bfe595,51bb125d010d3682cd540306ba56b7eb7805513caebd26bb06e737b0d6ab3633,,blob,,
False,False,,,src/rinbo_panel/launch/rinbo_control_panel.launch,absent_locally,,9e15efb5074d700bd648bdf883a822f2afd4a779,3789f432890d02771876fbf3bd7347b37992ed9f7c36cd866fa9ac1686b3045e,,blob,,
False,False,,,src/rinbo_panel/package.xml,absent_locally,,053a16d6f86ca239fc9b2a036255e68872b73f00,64d8275886afae7c3393f1986ff0beb8c8169204db8bb71c2ccddeaad7484595,,blob,,
False,False,,,src/rinbo_panel/scripts/rinbo_control_panel.py,absent_locally,,a26f3c7393accbb27b827a6e79261d75db948dab,d8e3e05625c4f3163cbd17e26662b80171d04830fc14f2c93ffd31f581ddff52,,blob,,
False,False,,,src/rinbo_pid_test/CMakeLists.txt,absent_locally,,4ad5d9cb424aeb8a96f8d45610b6532be45e52bc,f07d29539cdac2a268b46a2f17dcfba341e8476d171d2b621c9138e4530b9698,,blob,,
False,False,,,src/rinbo_pid_test/package.xml,absent_locally,,d12bcaf930dc09cc8d35a99c68a89b60b088526b,a29da715fece85c56d9d115a3c00e6f6334f6feccab1bd66988df851902564f4,,blob,,
False,False,,,src/rinbo_pid_test/src/rinbo_pid_test.cpp,absent_locally,,fd41c766834ade03268276e63d63b214f5f7984b,e7001fa86fbc1d1024617e33d74cd9493c2bb267224fc783cd4732f32fcfb9e2,,blob,,
False,False,,,src/rinbo_pid_test/src/rinbo_traj_rslip.cpp,absent_locally,,c044c534a7c24629098894bb1c87876dc415aa57,578991ba3784ed7315de693d7eaa2be9c228e55c778bbb81a8bb5d684c0cdbde,,blob,,
True,True,c228b8657bf177be3e09281d74d163e690c41f24ce42c5feb1406783caf2fb86,0e7605c9ca89341c9d7cba121c707b6856f3444eebc5b45c23e2e5c16cb22be0,src/rinbo_ros_bridge/CMakeLists.txt,modified,False,13d8c84aa9fd964759fd4446b76d72baf22c7a6a,c228b8657bf177be3e09281d74d163e690c41f24ce42c5feb1406783caf2fb86,False,blob,True,True
True,True,b7ed1dec313d50b7216da79cffb064a6a86039825d6ba508d62861b718750b8a,b7ed1dec313d50b7216da79cffb064a6a86039825d6ba508d62861b718750b8a,src/rinbo_ros_bridge/cmake/common.cmake,identical,False,aba0fa19f5397bf2ecaa256f3c8a743c9841a769,b7ed1dec313d50b7216da79cffb064a6a86039825d6ba508d62861b718750b8a,False,blob,False,False
True,True,bee1a22a50a61e02423ec33f3053fbbfa5214b9fe5e2f2f25633ce55ae9a2066,bee1a22a50a61e02423ec33f3053fbbfa5214b9fe5e2f2f25633ce55ae9a2066,src/rinbo_ros_bridge/launch/rinbo_ros_bridge.launch,identical,False,41bea34f4a030626d90f104abfe5562f1e5a6762,bee1a22a50a61e02423ec33f3053fbbfa5214b9fe5e2f2f25633ce55ae9a2066,False,blob,False,False
True,True,41a53108d5ac305fc2c95a9ae17c07a092e62bd3236aa974c71c856d940f6a55,29d690d7f9cc1f814a2033df0d60e0298f0d99bf9fa5e6837ab2fcdaf9a611e0,src/rinbo_ros_bridge/package.xml,modified,False,e98c549391159dd8cd1c302b2cae868cc154e4f4,41a53108d5ac305fc2c95a9ae17c07a092e62bd3236aa974c71c856d940f6a55,False,blob,True,True
True,True,d00c033ccfd421d8a64def81b597ebcc39ba1fb39a34a4f10fc710fe38855f1f,d00c033ccfd421d8a64def81b597ebcc39ba1fb39a34a4f10fc710fe38855f1f,src/rinbo_ros_bridge/scripts/rinbo_ros_bridge.sh,identical,False,2a8393ba096936ea6511b2bf0bdef4cde1134ef7,d00c033ccfd421d8a64def81b597ebcc39ba1fb39a34a4f10fc710fe38855f1f,False,blob,False,False
True,True,1109bb04e338f36fe8abd349480eb75e2f4f77a852dc768a1071f3fa16c17d77,1109bb04e338f36fe8abd349480eb75e2f4f77a852dc768a1071f3fa16c17d77,src/rinbo_ros_bridge/src/CMakeLists.txt,identical,False,649dc11ade804013e3a832ff483f55fd93b0a3d0,1109bb04e338f36fe8abd349480eb75e2f4f77a852dc768a1071f3fa16c17d77,False,blob,False,False
True,True,6a6929bc58abcb2cf2a39821fa42933f91e5773903ccca951cb22143e3d4071f,e91119de01a602dcb686ca54802da4c7b88af10cf7c07eff1b85ae129111e5f2,src/rinbo_ros_bridge/src/rinbo_ros_bridge.cpp,modified,True,238825b70a07571699ccda174c1bddf66a5dfa23,60da40799e512784da885ed63b4d428d0fc97af50cfc4f4b549739c517e269e5,True,blob,True,True
False,,,b9952cc33bbc3d9f4d84e45132837ed82739dbd4094e91b4c31e07d0c6131509,tools/evaluate_tripod_velocity_filter.py,local_only,,,,,,,
False,,,85f2cd8c096f93952c55053003b89a9c986943bbc168a5ee28a10dfe1390e21a,tools/fpga_lifecycle/baseline-sha256.json,local_only,,,,,,,
False,,,808bf2f627f2f076a7343f126c52e448f3ba7fedb0263f0d5003f01fb61cc5e5,tools/fpga_lifecycle/fpga-service,local_only,,,,,,,
False,,,7861a1d42ae601c6095769075014f5ce073628400da615f9185d40f04861fcbf,tools/fpga_lifecycle/lifecycle.patch,local_only,,,,,,,
False,,,fbdf14d788141444212afe7fe0ba4d2f6a56ded7e4f29b8cb0ed14185c9a66a2,tools/fpga_lifecycle/README.md,local_only,,,,,,,
False,,,8024df400461730ebd7057eb60defeaa1adda7ad9a9e9bd010aa5da2af392eb4,tools/fpga_lifecycle/prepare_candidate.py,local_only,,,,,,,
False,,,5f01c190ac34a297c43068626f19bd95425287298ff366a1f973c93a79d829f5,tools/fpga_lifecycle/test/endpoint_test.cpp,local_only,,,,,,,
False,,,4afc5cba1634e6e58d13eeacd4964a940c093f56712d427be2cca4ac076a33ea,tools/fpga_lifecycle/test/test_lifecycle.py,local_only,,,,,,,
False,,,0a5e8a616866a6fe0bb0ccdbc8fd12fc1b7c1a72365e28d91fcaae59106a8e41,tools/fpga_lifecycle/test/fake_ni.cpp,local_only,,,,,,,
False,,,dbe270e6b0a883140cd0c0d1702f7a77550dd46ef817a8f1982d587bc6df5129,src/rinbo_msgs/msg/SafetyEventStamped.msg,local_only,,,,,,,
False,,,f35e2b2d9528f57d96e2224c478d7c18b50fea0577b42e79e66047f959b6679e,src/rinbo_msgs/msg/ControllerDebugStamped.msg,local_only,,,,,,,
False,,,aa28a5e605f2b3a729edc6a4906bb89bc447aff55518001e8db6a31dda8b283c,tools/fpga_lifecycle/test/fake/messages.hpp,local_only,,,,,,,
False,,,3f84f416bbaa75477e63d664c1825aeb19f480cb57b587ff6528b1eb171ae471,tools/fpga_lifecycle/test/fake/NodeHandler.h,local_only,,,,,,,
False,,,e0c4e4e7d0dd6c91f18c3c2b955b79d185f83b5fff46d1dedfb987a22e555d86,tools/fpga_lifecycle/test/fake/Power.pb.h,local_only,,,,,,,
False,,,e0c4e4e7d0dd6c91f18c3c2b955b79d185f83b5fff46d1dedfb987a22e555d86,tools/fpga_lifecycle/test/fake/Motor.pb.h,local_only,,,,,,,
False,,,8306215bf9c4a29581332ab8c3214a7b5e4e2e16e1a669e670796f096c845b8d,tools/fpga_lifecycle/test/build.sh,local_only,,,,,,,
False,,,fb4489de903993a927438b4b66ce8d5729c6fc6fcc91f810896fc1129f8aa4f6,tools/fpga_lifecycle/test/test_service.py,local_only,,,,,,,
False,,,bb68e4be9a350ba2de4ddc6568c1fc5bf4c99de586addea2676a01883fbceb6e,tools/fpga_lifecycle/test/config.yaml,local_only,,,,,,,
False,,,fd44b8b7c97e7447f410961aaf7e6f1f40b09e2e01b7421f02acc2c348c9ae4d,tools/fpga_lifecycle/test/vendor/NiFpga_FPGA_POWER_RS485_v2.h,local_only,,,,,,,
False,,,cd14d4d02f15075c55713374b297025686f93ea4dd438d394d9828d1b5f9d3f6,tools/fpga_lifecycle/test/vendor/NiFpga.h,local_only,,,,,,,
False,,,68ea2a9aafb4de1080630eb9d84c7289440743c0f90b4ff32f7191248f232824,tools/fpga_lifecycle/test/vendor/unctrl.h,local_only,,,,,,,
False,,,e02d07d59451341667b527b19a46495dcfff318e597598f951d730236b1286de,tools/fpga_lifecycle/test/vendor/ncurses.h,local_only,,,,,,,
False,,,cd59c7e24b87401d036be945686d2b4d230039a02efe315be1fd5964b749c33b,tools/fpga_lifecycle/test/vendor/ncurses_dll.h,local_only,,,,,,,
False,,,cec4180b63f49616036594a6cdeba99b2da27e8f942917444490dab8d03c4b7d,tools/fpga_lifecycle/test/vendor/color.hpp,local_only,,,,,,,
